searchDate,flightDate,startingAirport,destinationAirport,isBasicEconomy,isRefundable,isNonStop,totalFare
1650081600,1650153600,ATL,CLT,FALSE,FALSE,TRUE,398.6
1650081600,1650153600,ATL,CLT,FALSE,FALSE,TRUE,398.6
1650081600,1650153600,ATL,CLT,FALSE,FALSE,TRUE,398.6
1650081600,1650153600,ATL,CLT,FALSE,FALSE,TRUE,398.6
1650081600,1650153600,ATL,CLT,FALSE,FALSE,FALSE,405.19
1650081600,1650153600,ATL,CLT,FALSE,FALSE,FALSE,492.6
1650081600,1650153600,ATL,CLT,FALSE,FALSE,FALSE,492.6
1650081600,1650153600,ATL,CLT,FALSE,FALSE,FALSE,492.6
1650081600,1650153600,ATL,CLT,FALSE,FALSE,FALSE,498.2
1650081600,1650153600,ATL,CLT,FALSE,FALSE,FALSE,498.2
1650081600,1650153600,ATL,CLT,FALSE,FALSE,FALSE,542.6
1650081600,1650153600,ATL,CLT,FALSE,FALSE,TRUE,559.6
1650081600,1650153600,ATL,CLT,FALSE,FALSE,FALSE,597.2
1650081600,1650153600,ATL,DEN,FALSE,FALSE,TRUE,133.98
1650081600,1650153600,ATL,DEN,FALSE,FALSE,FALSE,194.58
1650081600,1650153600,ATL,DEN,FALSE,FALSE,TRUE,296.61
1650081600,1650153600,ATL,DEN,FALSE,FALSE,TRUE,296.61
1650081600,1650153600,ATL,DEN,FALSE,FALSE,TRUE,296.61
1650081600,1650153600,ATL,DEN,FALSE,FALSE,TRUE,296.61
1650081600,1650153600,ATL,DEN,FALSE,FALSE,TRUE,296.61
1650081600,1650153600,ATL,DEN,FALSE,FALSE,TRUE,296.61
1650081600,1650153600,ATL,DEN,FALSE,FALSE,TRUE,296.61
1650081600,1650153600,ATL,DEN,FALSE,FALSE,TRUE,296.61
1650081600,1650153600,ATL,DEN,FALSE,FALSE,TRUE,296.61
1650081600,1650153600,ATL,DEN,FALSE,FALSE,TRUE,296.61
1650081600,1650153600,ATL,DEN,FALSE,FALSE,TRUE,296.61
1650081600,1650153600,ATL,DEN,FALSE,FALSE,FALSE,304.11
1650081600,1650153600,ATL,DEN,FALSE,FALSE,FALSE,304.11
1650081600,1650153600,ATL,DEN,FALSE,FALSE,FALSE,304.11
1650081600,1650153600,ATL,DEN,FALSE,FALSE,FALSE,305.61
1650081600,1650153600,ATL,DEN,FALSE,FALSE,FALSE,305.61
1650081600,1650153600,ATL,DEN,FALSE,FALSE,FALSE,305.61
1650081600,1650153600,ATL,DEN,FALSE,FALSE,FALSE,305.61
1650081600,1650153600,ATL,DEN,FALSE,FALSE,FALSE,305.61
1650081600,1650153600,ATL,DEN,FALSE,FALSE,FALSE,305.61
1650081600,1650153600,ATL,DEN,FALSE,FALSE,FALSE,305.61
1650081600,1650153600,ATL,DEN,FALSE,FALSE,FALSE,305.61
1650081600,1650153600,ATL,DEN,FALSE,FALSE,FALSE,305.61
1650081600,1650153600,ATL,DEN,FALSE,FALSE,FALSE,305.61
1650081600,1650153600,ATL,DEN,FALSE,FALSE,FALSE,305.61
1650081600,1650153600,ATL,DEN,FALSE,FALSE,FALSE,305.61
1650081600,1650153600,ATL,DEN,FALSE,FALSE,FALSE,305.61
1650081600,1650153600,ATL,DEN,FALSE,FALSE,FALSE,305.61
1650081600,1650153600,ATL,DEN,FALSE,FALSE,FALSE,305.61
1650081600,1650153600,ATL,DEN,FALSE,FALSE,FALSE,311.58
1650081600,1650153600,ATL,DEN,FALSE,FALSE,FALSE,311.58
1650081600,1650153600,ATL,DEN,FALSE,FALSE,FALSE,407.6
1650081600,1650153600,ATL,DEN,FALSE,FALSE,FALSE,554.01
1650081600,1650153600,ATL,DFW,FALSE,FALSE,TRUE,168.59
1650081600,1650153600,ATL,DFW,FALSE,FALSE,TRUE,202.6
1650081600,1650153600,ATL,DFW,FALSE,FALSE,TRUE,202.6
1650081600,1650153600,ATL,DFW,FALSE,FALSE,TRUE,202.6
1650081600,1650153600,ATL,DFW,FALSE,FALSE,TRUE,202.6
1650081600,1650153600,ATL,DFW,FALSE,FALSE,TRUE,202.6
1650081600,1650153600,ATL,DFW,FALSE,FALSE,TRUE,202.6
1650081600,1650153600,ATL,DFW,FALSE,FALSE,TRUE,202.6
1650081600,1650153600,ATL,DFW,FALSE,FALSE,TRUE,202.6
1650081600,1650153600,ATL,DFW,FALSE,FALSE,TRUE,202.6
1650081600,1650153600,ATL,DFW,FALSE,FALSE,TRUE,202.6
1650081600,1650153600,ATL,DFW,FALSE,FALSE,TRUE,202.6
1650081600,1650153600,ATL,DFW,FALSE,FALSE,TRUE,202.6
1650081600,1650153600,ATL,DFW,FALSE,FALSE,TRUE,202.6
1650081600,1650153600,ATL,DFW,FALSE,FALSE,TRUE,202.6
1650081600,1650153600,ATL,DFW,FALSE,FALSE,FALSE,210.1
1650081600,1650153600,ATL,DFW,FALSE,FALSE,FALSE,210.1
1650081600,1650153600,ATL,DFW,FALSE,FALSE,FALSE,211.6
1650081600,1650153600,ATL,DFW,FALSE,FALSE,FALSE,211.6
1650081600,1650153600,ATL,DFW,FALSE,FALSE,FALSE,211.6
1650081600,1650153600,ATL,DFW,FALSE,FALSE,FALSE,211.6
1650081600,1650153600,ATL,DFW,FALSE,FALSE,FALSE,211.6
1650081600,1650153600,ATL,DFW,FALSE,FALSE,FALSE,211.6
1650081600,1650153600,ATL,DFW,FALSE,FALSE,FALSE,211.6
1650081600,1650153600,ATL,DFW,FALSE,FALSE,TRUE,252.61
1650081600,1650153600,ATL,DFW,FALSE,FALSE,TRUE,259.6
1650081600,1650153600,ATL,DFW,FALSE,FALSE,TRUE,278.6
1650081600,1650153600,ATL,DFW,FALSE,FALSE,FALSE,318.6
1650081600,1650153600,ATL,DFW,FALSE,FALSE,TRUE,328.6
1650081600,1650153600,ATL,DFW,FALSE,FALSE,FALSE,339.58
1650081600,1650153600,ATL,DFW,FALSE,FALSE,FALSE,339.58
1650081600,1650153600,ATL,DFW,FALSE,FALSE,FALSE,339.58
1650081600,1650153600,ATL,DFW,FALSE,FALSE,FALSE,349.58
1650081600,1650153600,ATL,DFW,FALSE,FALSE,FALSE,349.58
1650081600,1650153600,ATL,DFW,FALSE,FALSE,TRUE,403.99
1650081600,1650153600,ATL,DTW,FALSE,FALSE,TRUE,165.59
1650081600,1650153600,ATL,DTW,FALSE,FALSE,TRUE,165.59
1650081600,1650153600,ATL,DTW,FALSE,FALSE,FALSE,210.1
1650081600,1650153600,ATL,DTW,FALSE,FALSE,FALSE,211.6
1650081600,1650153600,ATL,DTW,FALSE,FALSE,FALSE,211.6
1650081600,1650153600,ATL,DTW,FALSE,FALSE,FALSE,211.6
1650081600,1650153600,ATL,DTW,FALSE,FALSE,FALSE,211.6
1650081600,1650153600,ATL,DTW,FALSE,FALSE,FALSE,211.6
1650081600,1650153600,ATL,DTW,FALSE,FALSE,FALSE,211.6
1650081600,1650153600,ATL,DTW,FALSE,FALSE,FALSE,211.6
1650081600,1650153600,ATL,DTW,FALSE,FALSE,FALSE,268.6
1650081600,1650153600,ATL,DTW,FALSE,FALSE,FALSE,268.6
1650081600,1650153600,ATL,DTW,FALSE,FALSE,FALSE,298.6
1650081600,1650153600,ATL,DTW,FALSE,FALSE,FALSE,298.6
1650081600,1650153600,ATL,DTW,FALSE,FALSE,FALSE,306.58
1650081600,1650153600,ATL,DTW,FALSE,FALSE,FALSE,306.58
1650081600,1650153600,ATL,DTW,FALSE,FALSE,FALSE,313.61
1650081600,1650153600,ATL,DTW,FALSE,FALSE,FALSE,316.1
1650081600,1650153600,ATL,DTW,FALSE,FALSE,FALSE,316.1
1650081600,1650153600,ATL,DTW,FALSE,FALSE,FALSE,316.1
1650081600,1650153600,ATL,DTW,FALSE,FALSE,FALSE,316.58
1650081600,1650153600,ATL,DTW,FALSE,FALSE,FALSE,316.58
1650081600,1650153600,ATL,DTW,FALSE,FALSE,FALSE,398.6
1650081600,1650153600,ATL,DTW,FALSE,FALSE,FALSE,430.2
1650081600,1650153600,ATL,DTW,FALSE,FALSE,FALSE,430.2
1650081600,1650153600,ATL,DTW,FALSE,FALSE,FALSE,430.2
1650081600,1650153600,ATL,DTW,FALSE,FALSE,FALSE,430.2
1650081600,1650153600,ATL,DTW,FALSE,FALSE,FALSE,431.61
1650081600,1650153600,ATL,DTW,FALSE,FALSE,FALSE,431.61
1650081600,1650153600,ATL,DTW,FALSE,FALSE,FALSE,431.61
1650081600,1650153600,ATL,DTW,FALSE,FALSE,FALSE,440.19
1650081600,1650153600,ATL,DTW,FALSE,FALSE,FALSE,440.19
1650081600,1650153600,ATL,DTW,FALSE,FALSE,FALSE,440.19
1650081600,1650153600,ATL,DTW,FALSE,FALSE,FALSE,452.19
1650081600,1650153600,ATL,DTW,FALSE,FALSE,FALSE,487.59
1650081600,1650153600,ATL,DTW,FALSE,FALSE,FALSE,491.59
1650081600,1650153600,ATL,DTW,FALSE,FALSE,FALSE,491.59
1650081600,1650153600,ATL,DTW,FALSE,FALSE,FALSE,491.59
1650081600,1650153600,ATL,DTW,FALSE,FALSE,FALSE,491.59
1650081600,1650153600,ATL,DTW,FALSE,FALSE,FALSE,491.59
1650081600,1650153600,ATL,DTW,FALSE,FALSE,FALSE,491.59
1650081600,1650153600,ATL,DTW,FALSE,FALSE,FALSE,497.19
1650081600,1650153600,ATL,DTW,FALSE,FALSE,FALSE,497.19
1650081600,1650153600,ATL,DTW,FALSE,FALSE,TRUE,498.6
1650081600,1650153600,ATL,DTW,FALSE,FALSE,TRUE,498.6
1650081600,1650153600,ATL,DTW,FALSE,FALSE,TRUE,498.6
1650081600,1650153600,ATL,DTW,FALSE,FALSE,TRUE,498.6
1650081600,1650153600,ATL,DTW,FALSE,FALSE,TRUE,498.6
1650081600,1650153600,ATL,DTW,FALSE,FALSE,TRUE,498.6
1650081600,1650153600,ATL,DTW,FALSE,FALSE,TRUE,498.6
1650081600,1650153600,ATL,DTW,FALSE,FALSE,TRUE,498.6
1650081600,1650153600,ATL,DTW,FALSE,FALSE,FALSE,501.2
1650081600,1650153600,ATL,DTW,FALSE,FALSE,FALSE,510.2
1650081600,1650153600,ATL,DTW,FALSE,FALSE,FALSE,511.6
1650081600,1650153600,ATL,DTW,FALSE,FALSE,FALSE,511.6
1650081600,1650153600,ATL,DTW,FALSE,FALSE,FALSE,511.6
1650081600,1650153600,ATL,DTW,FALSE,FALSE,FALSE,521.59
1650081600,1650153600,ATL,DTW,FALSE,FALSE,FALSE,552.2
1650081600,1650153600,ATL,DTW,FALSE,FALSE,FALSE,552.2
1650081600,1650153600,ATL,DTW,FALSE,FALSE,FALSE,574.6
1650081600,1650153600,ATL,DTW,FALSE,FALSE,FALSE,577.2
1650081600,1650153600,ATL,DTW,FALSE,FALSE,FALSE,591.61
1650081600,1650153600,ATL,DTW,FALSE,FALSE,FALSE,601.2
1650081600,1650153600,ATL,DTW,FALSE,FALSE,FALSE,622.19
1650081600,1650153600,ATL,DTW,FALSE,FALSE,FALSE,631.6
1650081600,1650153600,ATL,DTW,FALSE,FALSE,FALSE,631.6
1650081600,1650153600,ATL,DTW,FALSE,FALSE,FALSE,640.2
1650081600,1650153600,ATL,DTW,FALSE,FALSE,FALSE,649.61
1650081600,1650153600,ATL,DTW,FALSE,FALSE,FALSE,671.6
1650081600,1650153600,ATL,DTW,FALSE,FALSE,FALSE,743.59
1650081600,1650153600,ATL,DTW,FALSE,FALSE,FALSE,747.2
1650081600,1650153600,ATL,DTW,FALSE,FALSE,FALSE,787.55
1650081600,1650153600,ATL,DTW,FALSE,FALSE,FALSE,791.6
1650081600,1650153600,ATL,DTW,FALSE,FALSE,FALSE,791.6
1650081600,1650153600,ATL,DTW,FALSE,FALSE,FALSE,791.6
1650081600,1650153600,ATL,DTW,FALSE,FALSE,FALSE,841.6
1650081600,1650153600,ATL,DTW,FALSE,FALSE,FALSE,847.2
1650081600,1650153600,ATL,EWR,FALSE,FALSE,TRUE,157.59
1650081600,1650153600,ATL,EWR,FALSE,FALSE,TRUE,157.59
1650081600,1650153600,ATL,EWR,FALSE,FALSE,TRUE,198.6
1650081600,1650153600,ATL,EWR,FALSE,FALSE,TRUE,203.6
1650081600,1650153600,ATL,EWR,FALSE,FALSE,TRUE,203.6
1650081600,1650153600,ATL,EWR,FALSE,FALSE,TRUE,203.6
1650081600,1650153600,ATL,EWR,FALSE,FALSE,TRUE,203.6
1650081600,1650153600,ATL,EWR,FALSE,FALSE,TRUE,203.6
1650081600,1650153600,ATL,EWR,FALSE,FALSE,TRUE,203.6
1650081600,1650153600,ATL,EWR,FALSE,FALSE,TRUE,203.6
1650081600,1650153600,ATL,EWR,TRUE,FALSE,TRUE,203.6
1650081600,1650153600,ATL,EWR,TRUE,FALSE,TRUE,203.6
1650081600,1650153600,ATL,EWR,FALSE,FALSE,FALSE,206.1
1650081600,1650153600,ATL,EWR,FALSE,FALSE,FALSE,207.6
1650081600,1650153600,ATL,EWR,FALSE,FALSE,FALSE,207.6
1650081600,1650153600,ATL,EWR,FALSE,FALSE,FALSE,207.6
1650081600,1650153600,ATL,EWR,FALSE,FALSE,FALSE,207.6
1650081600,1650153600,ATL,EWR,FALSE,FALSE,FALSE,207.6
1650081600,1650153600,ATL,EWR,FALSE,FALSE,FALSE,207.6
1650081600,1650153600,ATL,EWR,TRUE,FALSE,FALSE,212.6
1650081600,1650153600,ATL,EWR,FALSE,FALSE,TRUE,228.6
1650081600,1650153600,ATL,EWR,FALSE,FALSE,TRUE,253.61
1650081600,1650153600,ATL,EWR,FALSE,FALSE,TRUE,253.61
1650081600,1650153600,ATL,EWR,FALSE,FALSE,TRUE,253.61
1650081600,1650153600,ATL,EWR,FALSE,FALSE,TRUE,253.61
1650081600,1650153600,ATL,EWR,FALSE,FALSE,FALSE,262.61
1650081600,1650153600,ATL,EWR,FALSE,FALSE,TRUE,278.6
1650081600,1650153600,ATL,EWR,FALSE,FALSE,TRUE,278.6
1650081600,1650153600,ATL,EWR,FALSE,FALSE,FALSE,306.1
1650081600,1650153600,ATL,EWR,FALSE,FALSE,FALSE,306.1
1650081600,1650153600,ATL,EWR,FALSE,FALSE,FALSE,306.1
1650081600,1650153600,ATL,EWR,FALSE,FALSE,FALSE,371.58
1650081600,1650153600,ATL,IAD,FALSE,FALSE,TRUE,258.6
1650081600,1650153600,ATL,IAD,FALSE,FALSE,FALSE,360.69
1650081600,1650153600,ATL,IAD,FALSE,FALSE,TRUE,378.6
1650081600,1650153600,ATL,IAD,FALSE,FALSE,TRUE,378.6
1650081600,1650153600,ATL,IAD,FALSE,FALSE,FALSE,442.59
1650081600,1650153600,ATL,IAD,FALSE,FALSE,FALSE,448.19
1650081600,1650153600,ATL,IAD,FALSE,FALSE,TRUE,458.6
1650081600,1650153600,ATL,IAD,FALSE,FALSE,FALSE,466.1
1650081600,1650153600,ATL,IAD,FALSE,FALSE,FALSE,466.1
1650081600,1650153600,ATL,IAD,FALSE,FALSE,FALSE,466.1
1650081600,1650153600,ATL,IAD,FALSE,FALSE,FALSE,467.2
1650081600,1650153600,ATL,IAD,FALSE,FALSE,FALSE,486.19
1650081600,1650153600,ATL,IAD,FALSE,FALSE,FALSE,486.19
1650081600,1650153600,ATL,IAD,FALSE,FALSE,FALSE,487.2
1650081600,1650153600,ATL,IAD,FALSE,FALSE,FALSE,492.19
1650081600,1650153600,ATL,IAD,FALSE,FALSE,TRUE,498.6
1650081600,1650153600,ATL,IAD,FALSE,FALSE,TRUE,498.6
1650081600,1650153600,ATL,IAD,FALSE,FALSE,FALSE,506.1
1650081600,1650153600,ATL,IAD,FALSE,FALSE,FALSE,507.2
1650081600,1650153600,ATL,IAD,FALSE,FALSE,FALSE,527.19
1650081600,1650153600,ATL,IAD,FALSE,FALSE,FALSE,572.19
1650081600,1650153600,ATL,IAD,FALSE,FALSE,FALSE,746.14
1650081600,1650153600,ATL,IAD,FALSE,FALSE,FALSE,817.54
1650081600,1650153600,ATL,JFK,FALSE,FALSE,TRUE,198.6
1650081600,1650153600,ATL,JFK,FALSE,FALSE,TRUE,198.6
1650081600,1650153600,ATL,JFK,FALSE,FALSE,TRUE,198.6
1650081600,1650153600,ATL,JFK,FALSE,FALSE,FALSE,206.1
1650081600,1650153600,ATL,JFK,FALSE,FALSE,FALSE,207.6
1650081600,1650153600,ATL,JFK,FALSE,FALSE,TRUE,223.6
1650081600,1650153600,ATL,JFK,FALSE,FALSE,TRUE,223.6
1650081600,1650153600,ATL,JFK,FALSE,FALSE,TRUE,259.6
1650081600,1650153600,ATL,JFK,FALSE,FALSE,TRUE,278.6
1650081600,1650153600,ATL,JFK,FALSE,FALSE,FALSE,306.1
1650081600,1650153600,ATL,JFK,FALSE,FALSE,FALSE,306.1
1650081600,1650153600,ATL,JFK,FALSE,FALSE,FALSE,306.1
1650081600,1650153600,ATL,JFK,FALSE,FALSE,TRUE,338.61
1650081600,1650153600,ATL,JFK,FALSE,FALSE,TRUE,368.6
1650081600,1650153600,ATL,JFK,FALSE,FALSE,TRUE,478.6
1650081600,1650153600,ATL,JFK,FALSE,FALSE,FALSE,552.2
1650081600,1650153600,ATL,JFK,FALSE,FALSE,FALSE,577.1
1650081600,1650153600,ATL,JFK,FALSE,FALSE,FALSE,582.7
1650081600,1650153600,ATL,JFK,FALSE,FALSE,FALSE,601.2
1650081600,1650153600,ATL,JFK,FALSE,FALSE,FALSE,601.2
1650081600,1650153600,ATL,JFK,FALSE,FALSE,FALSE,666.59
1650081600,1650153600,ATL,JFK,FALSE,FALSE,FALSE,672.19
1650081600,1650153600,ATL,LAX,FALSE,FALSE,FALSE,239.6
1650081600,1650153600,ATL,LAX,FALSE,FALSE,FALSE,244.1
1650081600,1650153600,ATL,LAX,FALSE,FALSE,TRUE,328.59
1650081600,1650153600,ATL,LAX,FALSE,FALSE,TRUE,328.59
1650081600,1650153600,ATL,LAX,FALSE,FALSE,FALSE,357.6
1650081600,1650153600,ATL,LAX,FALSE,FALSE,FALSE,357.6
1650081600,1650153600,ATL,LAX,FALSE,FALSE,FALSE,357.6
1650081600,1650153600,ATL,LAX,FALSE,FALSE,FALSE,357.6
1650081600,1650153600,ATL,LAX,FALSE,FALSE,FALSE,357.6
1650081600,1650153600,ATL,LAX,FALSE,FALSE,FALSE,369.1
1650081600,1650153600,ATL,LAX,FALSE,FALSE,FALSE,369.1
1650081600,1650153600,ATL,LAX,FALSE,FALSE,FALSE,370.6
1650081600,1650153600,ATL,LAX,FALSE,FALSE,FALSE,370.6
1650081600,1650153600,ATL,LAX,FALSE,FALSE,FALSE,370.6
1650081600,1650153600,ATL,LAX,FALSE,FALSE,FALSE,370.6
1650081600,1650153600,ATL,LAX,FALSE,FALSE,FALSE,370.6
1650081600,1650153600,ATL,LAX,FALSE,FALSE,FALSE,370.6
1650081600,1650153600,ATL,LAX,FALSE,FALSE,FALSE,370.6
1650081600,1650153600,ATL,LAX,FALSE,FALSE,FALSE,370.6
1650081600,1650153600,ATL,LAX,FALSE,FALSE,FALSE,370.6
1650081600,1650153600,ATL,LAX,FALSE,FALSE,FALSE,370.6
1650081600,1650153600,ATL,LAX,FALSE,FALSE,FALSE,370.6
1650081600,1650153600,ATL,LAX,FALSE,FALSE,FALSE,370.6
1650081600,1650153600,ATL,LAX,FALSE,FALSE,FALSE,370.6
1650081600,1650153600,ATL,LAX,FALSE,FALSE,FALSE,379.58
1650081600,1650153600,ATL,LAX,FALSE,FALSE,FALSE,448.6
1650081600,1650153600,ATL,LAX,FALSE,FALSE,FALSE,460.2
1650081600,1650153600,ATL,LAX,FALSE,FALSE,TRUE,498.6
1650081600,1650153600,ATL,LAX,FALSE,FALSE,TRUE,498.6
1650081600,1650153600,ATL,LAX,FALSE,FALSE,TRUE,498.6
1650081600,1650153600,ATL,LAX,FALSE,FALSE,FALSE,499.2
1650081600,1650153600,ATL,LAX,FALSE,FALSE,FALSE,507.6
1650081600,1650153600,ATL,LAX,FALSE,FALSE,FALSE,507.6
1650081600,1650153600,ATL,LAX,FALSE,FALSE,FALSE,507.6
1650081600,1650153600,ATL,LAX,FALSE,FALSE,FALSE,511.6
1650081600,1650153600,ATL,LAX,FALSE,FALSE,FALSE,528.6
1650081600,1650153600,ATL,LAX,FALSE,FALSE,FALSE,529.58
1650081600,1650153600,ATL,LAX,FALSE,FALSE,FALSE,531.59
1650081600,1650153600,ATL,LAX,FALSE,FALSE,FALSE,555.6
1650081600,1650153600,ATL,LAX,FALSE,FALSE,FALSE,561.2
1650081600,1650153600,ATL,LAX,FALSE,FALSE,FALSE,563.61
1650081600,1650153600,ATL,LAX,FALSE,FALSE,FALSE,569.58
1650081600,1650153600,ATL,LAX,FALSE,FALSE,FALSE,583.2
1650081600,1650153600,ATL,LAX,FALSE,FALSE,TRUE,598.61
1650081600,1650153600,ATL,LAX,FALSE,FALSE,TRUE,598.61
1650081600,1650153600,ATL,LAX,FALSE,FALSE,TRUE,598.61
1650081600,1650153600,ATL,LAX,FALSE,FALSE,TRUE,598.61
1650081600,1650153600,ATL,LAX,FALSE,FALSE,TRUE,598.61
1650081600,1650153600,ATL,LAX,FALSE,FALSE,TRUE,598.61
1650081600,1650153600,ATL,LAX,FALSE,FALSE,TRUE,598.61
1650081600,1650153600,ATL,LAX,FALSE,FALSE,TRUE,598.61
1650081600,1650153600,ATL,LAX,FALSE,FALSE,TRUE,598.61
1650081600,1650153600,ATL,LAX,FALSE,FALSE,TRUE,598.61
1650081600,1650153600,ATL,LAX,FALSE,FALSE,TRUE,598.61
1650081600,1650153600,ATL,LAX,FALSE,FALSE,TRUE,598.61
1650081600,1650153600,ATL,LAX,FALSE,FALSE,TRUE,598.61
1650081600,1650153600,ATL,LAX,FALSE,FALSE,FALSE,616.07
1650081600,1650153600,ATL,LAX,FALSE,FALSE,FALSE,723.2
1650081600,1650153600,ATL,LAX,FALSE,FALSE,FALSE,738.59
1650081600,1650153600,ATL,LAX,FALSE,FALSE,FALSE,738.59
1650081600,1650153600,ATL,LAX,FALSE,FALSE,FALSE,791.6
1650081600,1650153600,ATL,LAX,FALSE,FALSE,FALSE,841.6
1650081600,1650153600,ATL,LAX,FALSE,FALSE,FALSE,841.6
1650081600,1650153600,ATL,LAX,FALSE,FALSE,FALSE,941.6
1650081600,1650153600,ATL,LAX,FALSE,FALSE,FALSE,947.2
1650081600,1650153600,ATL,LAX,FALSE,FALSE,FALSE,947.2
1650081600,1650153600,ATL,LGA,FALSE,FALSE,TRUE,193.99
1650081600,1650153600,ATL,LGA,FALSE,FALSE,TRUE,198.6
1650081600,1650153600,ATL,LGA,FALSE,FALSE,TRUE,198.6
1650081600,1650153600,ATL,LGA,FALSE,FALSE,TRUE,198.6
1650081600,1650153600,ATL,LGA,FALSE,FALSE,TRUE,198.6
1650081600,1650153600,ATL,LGA,FALSE,FALSE,TRUE,198.6
1650081600,1650153600,ATL,LGA,FALSE,FALSE,TRUE,198.6
1650081600,1650153600,ATL,LGA,FALSE,FALSE,TRUE,198.6
1650081600,1650153600,ATL,LGA,FALSE,FALSE,TRUE,198.6
1650081600,1650153600,ATL,LGA,FALSE,FALSE,TRUE,198.6
1650081600,1650153600,ATL,LGA,FALSE,FALSE,TRUE,198.6
1650081600,1650153600,ATL,LGA,FALSE,FALSE,TRUE,198.6
1650081600,1650153600,ATL,LGA,FALSE,FALSE,TRUE,198.6
1650081600,1650153600,ATL,LGA,FALSE,FALSE,FALSE,206.1
1650081600,1650153600,ATL,LGA,FALSE,FALSE,FALSE,206.1
1650081600,1650153600,ATL,LGA,FALSE,FALSE,FALSE,207.6
1650081600,1650153600,ATL,LGA,FALSE,FALSE,FALSE,207.6
1650081600,1650153600,ATL,LGA,FALSE,FALSE,FALSE,207.6
1650081600,1650153600,ATL,LGA,FALSE,FALSE,FALSE,207.6
1650081600,1650153600,ATL,LGA,FALSE,FALSE,FALSE,207.6
1650081600,1650153600,ATL,LGA,FALSE,FALSE,FALSE,207.6
1650081600,1650153600,ATL,LGA,FALSE,FALSE,FALSE,207.6
1650081600,1650153600,ATL,LGA,FALSE,FALSE,FALSE,207.6
1650081600,1650153600,ATL,LGA,FALSE,FALSE,FALSE,207.6
1650081600,1650153600,ATL,LGA,FALSE,FALSE,FALSE,207.6
